Sample	index	Fre	Lat	Long	Alt
Sample1	Group_A	0.25	55.7558	37.6176	156
Sample2	Group_A	0.30	55.9116	37.4172	145
Sample3	Group_A	0.22	56.0184	37.8058	162
Sample4	Group_B	0.45	56.2965	37.2212	178
Sample5	Group_B	0.38	56.1447	37.5643	134
Sample6	Group_B	0.52	55.8574	37.3456	189
Sample7	Group_C	0.61	56.3821	37.7891	201
Sample8	Group_C	0.55	55.6743	37.1234	167
Sample9	Group_C	0.68	56.0987	37.9876	223
Sample10	Group_A	0.35	55.8932	37.2345	143
Sample11	Group_B	0.42	56.1678	37.6789	156
Sample12	Group_C	0.59	55.7456	37.4567	198
